document_id;classification;published
c03e30bb9a19d5a24fcd1cc88f245171;4;True
f1cace3f522a7d7072d46b443336b7f0;4;True
3d705ef7bee2de856e545e352a5325ec;4;True
189d4bc5378e11884eddeecec9304588;1;False
b4825922d723e3e794ddd3036b635420;4;True
170d3cbd8c0f867b342ac35b29d05ea0;1;False
01628a243b61ec0f067b62a8f7ac2f00;1;False
b93adf5f5c1bd31e26ca7306e8b91a3c;1;False
a719b36ae0cb229662c706f2482970da;2;True
c3df215cf3f4553e55c0ba02623ab9b8;4;True
294a8bcdf25bc118eb0eab928c12e3e3;3;True
eadf729092cb16cdae7b6ebc3f4ccf53;4;True
7ba2141f2f1a4847a837f0062ceea223;4;True
5523dd9af6e1488fbad9e70b5c67f347;2;True
ca2038acb6ebd6c86da5898ccf13778f;1;False
90d628bdf63f2be8b8f77f9e239584d9;1;False
5d6be3bb7bba44492be843522e809716;4;True
64831a89084fc89f1ce7614695057b66;1;False
47f0244bc812ef421f9ed8b9d93c852d;2;True
ebde783fb7dd6cf144e27f1a75338465;2;True
09f181f5a9b38de7ed5cdd9fc100eb46;4;True
e4543443b9592684c95c04c728f66e1a;4;True
f7e70e7abe7c51bdb0cb6957b08fcb3b;4;True
377a105dd44c44dbc5d75c30509af9d1;4;True
1497f41d306047a67f84e1c4d767a614;2;True
f03887fe117453566d55680a53cb4555;4;True
19f511c4d1699d76bc64de245decff90;3;True
1c4987ea6a19d1840e55a5b6222d434c;2;True
07a135fa0d07c49e0e6cd47810003dbc;4;True
91c51fbaa9a56f82c546d3c21f5fb578;4;True
c0e00035dc603ec9ae8a90a2ac2283b2;4;True
704a10d5f79155bd314334189950e4f8;4;True
ec1b4a4ee9f6359c6c2c003b796d191e;4;True
dabac6f90165248f2e7968aab139bc5a;1;False
d52c3bf565927c825d3df28f02732d0f;4;True
ccf6adb644db4659841674c3c44317e2;1;False
800b804a4d5982f647d41dd35f34724e;3;True
993070b24b93d19305abb85e07f4921c;4;True
ee80f0e0afa1b166d9237260f9add15b;4;True
5a6c450590a545ddc90de333ea4ad5f9;2;True
6fd5b1d2b8346f32dbad9a7a9fc0190a;1;False
c2af7f0ced809aab4d5000ac89b8409e;1;False
b7fd217a80003749fb99bc0aff70d1b1;4;True
533942671f0909ea7bf8cf406545f95a;1;False
a7f54c58f810e2ea9f95ec28aad08f8b;4;True
fae4d6ff89fa6aee876d05bbcc02e859;4;True
beb30cdc3060b9c99a838e8ab53ad4fa;1;False
f7f838220c6419f5a93c204acdecb326;1;False
92879867560fe876ae96ee114ed413a7;4;True
5830b4b4ad5bc60712a2c690aff8a930;4;True
1ad1645a7df2aa44aaad65a8dc9af6cd;4;True
bda13df4be5d27e87d26d764f878b728;7;False
9061a068beb2f5ccee01559479d56b81;2;True
cb72170a28df55a7c468790aacef483f;4;True
7abd567addfa19b36c6366c64802f5a8;4;True
a7d555bc3a91f1cec862e1d5da86664d;4;True
a251d39c3f59c9c69128a7903b02282c;1;False
a51af7c9f45e2ff2033fa12d93f3ece5;4;True
b81fbf7b978379a61b32531f17f437e3;1;False
c60945acee635aab7006879855b39697;1;False
5a8a0b22cd67c136b81d006f0ac194e9;1;False
a26f66f3a1a510d57c61318c04854b06;1;False
9779ff57fe5833f8629649d936e83a35;1;False
f08c96caeb183d94142bdbe99901286d;2;True
41bf45b426ade60a358b0cc777a6aa04;1;False
dc3ad7a99c8ec2ec9596145597c291ba;1;False
02da28d6cbad796f59478c920c65132a;4;True
dc8a497f56deda2bf6e0b3610e8c6ed2;1;False
cf5cff19e4964e927f5c3c4b38d2799f;1;False
c78c0acd9ba70cb14c47cb7c430947d1;1;False
f726904493a69cc0d2398443a7af02ca;1;False
acffaa8c7536043660626e0a166cd81e;1;False
2dfbeee0d9936b16b2d5405a0a3bd445;1;False
11c35c8372cbf15bd041eb90f921571f;4;True
462926e97f3d1b690a8a4c4c4d292faa;1;False
86ee3459cab1d21e29d96a9760c2c439;4;True
5ca70260720e13f72265953b4a071c3c;1;False
5945f016eae7e4229d5fa6c8275f8533;4;True
8547937096f8e8619534cb19bf11bcac;1;False
d6b2a5b7dd2287caddea6aa359e3e189;4;True
42b6f3ab5325cbee0ae100cc979df1c7;7;False
5f122ff59ba84579a2c8e55dade37558;4;True
cdd01b412c527f68429d46951caa886f;4;True
b3284cd6ccb91ada94e2548f068f9d1a;1;False
5caa1969d998530e9103e0fed58d0f89;2;True
23bf3c448554648a00cc6421340d9214;1;False
b442571b60c7f6bc450b621b3641cb27;1;False
8bec1ed36232a9b9b99ca2b508b47b35;1;False
e5b6d96688db590b7af736ec2a21d3a5;4;True
4eaaacffb64cf47c5bc29670e496e936;1;False
c773e47a763dc67effebac036d744c08;1;False
42787acb3d166879da108d9846596948;4;True
2b031cdcf6f6d05dd5a9cdabe7021f31;1;False
cba4116ce659a7ec02999768272f5a0d;1;False
79de64664dc7a05079049b6f2ab47e41;1;False
c257a618e36a990c11ee5d0956fbedac;4;True
67e25b80ec8bbcb211ab6f33da487a0d;4;True
0db714d98031383bbf0612601857e6cd;1;False
